grau,contagem,fracao
6,2,0.0002
7,41,0.0041
8,484,0.0484
9,2218,0.2218
10,4656,0.4656
11,1999,0.1999
12,497,0.0497
13,91,0.0091
14,9,0.0009
15,3,0.0003
