grau,contagem,fracao
5,3,0.003
6,21,0.021
7,59,0.059
8,132,0.132
9,194,0.194
10,211,0.211
11,181,0.181
12,102,0.102
13,58,0.058
14,25,0.025
15,11,0.011
16,1,0.001
17,2,0.002
