grau,contagem,fracao
5,2,0.0002
6,3,0.0003
7,11,0.0011
8,38,0.0038
9,71,0.0071
10,122,0.0122
11,182,0.0182
12,322,0.0322
13,448,0.0448
14,606,0.0606
15,739,0.0739
16,839,0.0839
17,947,0.0947
18,935,0.0935
19,928,0.0928
20,852,0.0852
21,696,0.0696
22,586,0.0586
23,493,0.0493
24,378,0.0378
25,271,0.0271
26,185,0.0185
27,130,0.013
28,86,0.0086
29,38,0.0038
30,36,0.0036
31,25,0.0025
32,12,0.0012
33,11,0.0011
34,4,0.0004
35,2,0.0002
36,2,0.0002
