grau,contagem,fracao
0,1363,0.1363
1,2677,0.2677
2,2743,0.2743
3,1788,0.1788
4,872,0.0872
5,369,0.0369
6,139,0.0139
7,34,0.0034
8,12,0.0012
9,2,0.0002
10,1,0.0001
