grau,contagem,fracao
5,76,0.0076
6,322,0.0322
7,845,0.0845
8,1412,0.1412
9,1798,0.1798
10,1692,0.1692
11,1438,0.1438
12,1023,0.1023
13,735,0.0735
14,361,0.0361
15,176,0.0176
16,72,0.0072
17,30,0.003
18,12,0.0012
19,6,0.0006
20,2,0.0002
