grau,contagem,fracao
3,395,0.395
4,203,0.203
5,113,0.113
6,85,0.085
7,33,0.033
8,32,0.032
9,24,0.024
10,19,0.019
11,11,0.011
12,11,0.011
13,14,0.014
14,8,0.008
15,8,0.008
16,8,0.008
17,7,0.007
18,4,0.004
19,1,0.001
20,1,0.001
23,1,0.001
24,4,0.004
25,1,0.001
27,1,0.001
28,1,0.001
29,1,0.001
31,1,0.001
33,1,0.001
37,1,0.001
38,2,0.002
40,1,0.001
45,1,0.001
51,1,0.001
52,1,0.001
59,1,0.001
77,1,0.001
82,1,0.001
88,1,0.001
93,1,0.001
