grau,contagem,fracao
4,1,0.001
5,1,0.001
6,11,0.011
7,17,0.017
8,43,0.043
9,52,0.052
10,66,0.066
11,87,0.087
12,104,0.104
13,124,0.124
14,105,0.105
15,83,0.083
16,80,0.08
17,56,0.056
18,65,0.065
19,41,0.041
20,26,0.026
21,20,0.02
22,8,0.008
23,6,0.006
24,1,0.001
25,3,0.003
