grau,contagem,fracao
5,1,0.001
6,40,0.04
7,97,0.097
8,109,0.109
9,181,0.181
10,184,0.184
11,148,0.148
12,119,0.119
13,57,0.057
14,35,0.035
15,18,0.018
16,9,0.009
17,2,0.002
