grau,contagem,fracao
2,1,0.01
4,5,0.05
5,1,0.01
6,12,0.12
7,16,0.16
8,14,0.14
9,16,0.16
10,11,0.11
11,6,0.06
12,8,0.08
13,5,0.05
14,5,0.05
