grau,contagem,fracao
3,40153,0.40153
4,19838,0.19838
5,11268,0.11268
6,7170,0.0717
7,4810,0.0481
8,3361,0.03361
9,2490,0.0249
10,1800,0.018
11,1454,0.01454
12,1117,0.01117
13,918,0.00918
14,760,0.0076
15,582,0.00582
16,460,0.0046
17,379,0.00379
18,337,0.00337
19,276,0.00276
20,257,0.00257
21,219,0.00219
22,196,0.00196
23,159,0.00159
24,151,0.00151
25,141,0.00141
26,121,0.00121
27,109,0.00109
28,92,0.00092
29,84,0.00084
30,97,0.00097
31,70,0.0007
32,71,0.00071
33,73,0.00073
34,56,0.00056
35,49,0.00049
36,37,0.00037
37,41,0.00041
38,36,0.00036
39,34,0.00034
40,41,0.00041
41,26,0.00026
42,31,0.00031
43,31,0.00031
44,26,0.00026
45,26,0.00026
46,20,0.0002
47,23,0.00023
48,30,0.0003
49,11,0.00011
50,18,0.00018
51,15,0.00015
52,15,0.00015
53,14,0.00014
54,10,0.0001
55,11,0.00011
56,10,0.0001
57,18,0.00018
58,11,0.00011
59,8,8e-05
60,5,5e-05
61,10,0.0001
62,8,8e-05
63,12,0.00012
64,9,9e-05
65,6,6e-05
66,6,6e-05
67,5,5e-05
68,12,0.00012
69,5,5e-05
70,5,5e-05
71,11,0.00011
72,10,0.0001
73,7,7e-05
74,8,8e-05
75,8,8e-05
76,5,5e-05
77,7,7e-05
78,3,3e-05
79,5,5e-05
80,9,9e-05
81,3,3e-05
82,3,3e-05
83,1,1e-05
84,7,7e-05
85,3,3e-05
86,2,2e-05
87,4,4e-05
88,2,2e-05
89,3,3e-05
90,4,4e-05
91,4,4e-05
92,2,2e-05
93,2,2e-05
94,2,2e-05
95,1,1e-05
96,2,2e-05
97,3,3e-05
98,4,4e-05
99,3,3e-05
100,2,2e-05
101,4,4e-05
102,3,3e-05
104,1,1e-05
105,5,5e-05
106,2,2e-05
107,1,1e-05
108,4,4e-05
109,3,3e-05
110,3,3e-05
111,2,2e-05
112,3,3e-05
115,4,4e-05
116,1,1e-05
117,1,1e-05
120,2,2e-05
121,1,1e-05
123,1,1e-05
124,1,1e-05
125,2,2e-05
128,2,2e-05
129,1,1e-05
130,1,1e-05
131,2,2e-05
132,3,3e-05
135,2,2e-05
136,1,1e-05
137,3,3e-05
138,1,1e-05
139,1,1e-05
141,1,1e-05
142,1,1e-05
143,1,1e-05
144,1,1e-05
146,3,3e-05
148,1,1e-05
149,2,2e-05
150,1,1e-05
151,2,2e-05
157,1,1e-05
159,1,1e-05
162,1,1e-05
163,1,1e-05
167,1,1e-05
170,2,2e-05
171,1,1e-05
172,1,1e-05
174,2,2e-05
175,2,2e-05
177,1,1e-05
180,1,1e-05
181,1,1e-05
182,1,1e-05
183,2,2e-05
185,1,1e-05
186,1,1e-05
187,1,1e-05
190,1,1e-05
201,1,1e-05
202,1,1e-05
203,1,1e-05
213,1,1e-05
214,1,1e-05
227,1,1e-05
229,1,1e-05
232,1,1e-05
237,1,1e-05
249,1,1e-05
267,1,1e-05
279,1,1e-05
288,1,1e-05
300,1,1e-05
319,1,1e-05
358,1,1e-05
362,1,1e-05
372,1,1e-05
376,1,1e-05
379,1,1e-05
409,2,2e-05
434,1,1e-05
479,1,1e-05
491,1,1e-05
775,1,1e-05
806,1,1e-05
989,1,1e-05
1164,1,1e-05
