grau,contagem,fracao
5,26,0.0026
6,199,0.0199
7,658,0.0658
8,1368,0.1368
9,1957,0.1957
10,2045,0.2045
11,1595,0.1595
12,1115,0.1115
13,605,0.0605
14,277,0.0277
15,108,0.0108
16,34,0.0034
17,5,0.0005
18,7,0.0007
20,1,0.0001
