grau,contagem,fracao
3,42,0.42
4,23,0.23
5,14,0.14
6,3,0.03
7,3,0.03
9,2,0.02
11,3,0.03
12,1,0.01
13,1,0.01
15,2,0.02
19,1,0.01
23,2,0.02
26,1,0.01
28,1,0.01
30,1,0.01
